No;code;202;203;204;205;206;207;208;209;210;211
95;1.1-1-117;173,59;173,59;182,09;182,09;182,09;182,09;182,09;182,09;182,09;185,04
96;1.1-1-118;42,44;42,44;42,44;42,44;42,44;42,44;42,44;42,44;42,44;42,44
97;1.1-1-119;20;20;16,67;16,67;16,67;18,33;18,33;18,33;18,33;18,33
98;1.1-1-120;369,75;369,75;374;374;374;419,33;419,33;419,33;419,33;419,33
99;1.1-1-121;395833,33;395833,33;398333,33;398333,33;398333,33;425000;425000;425000;425000;425000
100;1.1-1-122;275,68;275,68;275,93;276,44;286;315,39;315,22;315,39;315,33;315,17
101;1.1-1-123;21852,63;21852,63;21852,63;21852,63;21852,63;21852,63;21852,63;21852,63;21852,63;21852,63
102;1.1-1-124;900;900;900;900;900;900;900;900;950;950
103;1.1-1-127;81758,33;81758,33;91783,33;91783,33;87500;87500;87500;87500;87500;87500
104;1.1-1-128;104775;104775;106508,33;106508,33;115033,33;115033,33;115033,33;115033,33;115033,33;115033,33
105;1.1-1-129;202300;202300;202300;202300;202300;202300;202300;202300;202300;202300
106;1.1-1-130;356550;356550;356550;356550;356550;356550;356550;356550;356550;356550
107;1.1-1-131;89860,1;89860,1;89860,1;89860,1;89860,1;89860,1;93063,1;93063,1;93063,1;83203,4
108;1.1-1-132;65666,67;65666,67;64183,33;64183,33;66891,67;66891,67;74100;74100;74100;76433,33
109;1.1-1-133;81758,33;81758,33;91783,33;91783,33;87500;87500;87500;87500;87500;87500
110;1.1-1-134;654166,67;654166,67;654166,67;654166,67;654166,67;654166,67;654166,67;654166,67;654166,67;654166,67
111;1.1-1-135;509166,67;509166,67;509166,67;509166,67;482083,33;482083,33;482083,33;482083,33;482083,33;482083,33
112;1.1-1-136;356550;356550;356550;356550;356550;356550;356550;356550;356550;356550
113;1.1-1-137;127666,67;127666,67;127666,67;127666,67;127666,67;127666,67;127666,67;127666,67;127666,67;127666,67
114;1.1-1-139;70000;70000;70000;71666,67;71666,67;71666,67;71666,67;69666,67;71566,67;71566,67
115;1.1-1-140;303333,33;303333,33;303333,33;303333,33;377708,33;378041,67;378041,67;377875;377875;377875
116;1.1-1-141;744,33;744,33;744,33;744,33;744,33;744,33;744,33;744,33;744,33;744,33
117;1.1-1-143;109,94;110,02;110,02;108,33;106,25;103,75;102,08;102,08;102,08;102,08
118;1.1-1-144;80,08;80;80;80;86,25;88,33;88,33;88,33;85,83;85,83
119;1.1-1-145;180;180;180;180;180;180;180;180;180;180
120;1.1-1-146;4719;5157,23;5157,23;5157,23;5678,98;5678,98;5678,98;6111,68;6111,68;6111,68
121;1.1-1-147;8472,22;8472,22;8472,22;8472,22;8472,22;8472,22;8472,22;8472,22;8472,22;8472,22
122;1.1-1-148;548;548;548;548;548;548;548;548;548;548
123;1.1-1-149;87,36;87,36;87,36;87,36;87,36;87,36;88,48;88,48;88,48;92,2
124;1.1-1-150;347,21;343,04;332,38;328,21;325,9;321,73;316,17;314,78;311,99;276,78
125;1.1-1-151;248,4;248,4;248,4;248,4;248,4;248,4;248,4;248,4;248,4;248,4
126;1.1-1-152;3797,62;3797,62;3666,67;3666,67;3666,67;3892,86;3892,86;3892,86;3892,86;3892,86
127;1.1-1-153;1812,5;2000;1833,33;1812,5;1975;2041,67;2041,67;2041,67;2041,67;2041,67
128;1.1-1-154;1625;1625;1750;1750;1916,67;2041,67;2166,67;2166,67;2166,67;2166,67
129;1.1-1-155;1625;1625;1625;1750;1916,67;2083,33;2208,33;2208,33;2208,33;2208,33
130;1.1-1-156;1812,5;1812,5;1812,5;1812,5;1916,67;1916,67;1916,67;1916,67;1916,67;1916,67
131;1.1-1-157;1625;1625;1625;1750;1916,67;2083,33;2125;2208,33;2208,33;2208,33
132;1.1-1-158;2041,67;2041,67;2041,67;2041,67;2041,67;2208,33;2208,33;2250;2250;2083,33
133;1.1-1-159;1166,67;1166,67;1208,33;1208,33;1208,33;1208,33;1208,33;1208,33;1208,33;1208,33
134;1.1-1-160;958,33;1000;1000;1000;1000;1083,33;1166,67;1166,67;1166,67;1166,67
135;1.1-1-161;100;100;100;100;100;100;100;100;100;100
136;1.1-1-162;24,17;24,17;24,17;24,17;38,33;38,33;38,33;38,33;38,33;38,33
137;1.1-1-163;274494,69;274494,69;274494,69;274494,69;274494,69;274494,69;274494,69;274494,69;274494,69;274494,69
138;1.1-1-164;102083,33;150000;150000;150000;150000;150000;150000;150000;150000;150000
139;1.1-1-165;66833,33;66833,33;66833,33;66833,33;66833,33;66833,33;66833,33;65416,67;65416,67;65416,67
140;1.1-1-166;135708,33;135708,33;135708,33;135708,33;135708,33;135708,33;135708,33;135708,33;135708,33;135708,33
141;1.1-1-167;113,75;113,75;113,75;113,75;113,75;113,75;113,75;113,75;113,75;113,75
142;1.1-1-168;129333,33;129333,33;129500;129791,67;129791,67;162500;162500;162500;162500;162500
